#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	10454572	3	46	311826135	29.826772	27.000000	32.000000	34.000000	7.000000	17	44	3,5,7,8,9,10,11,12,13,14,15,16,46,45	2397063	3102724	2528490	2426295	0		
2	10454572	3	46	315777163	30.204695	27.000000	32.000000	34.000000	7.000000	17	44	3,5,6,7,8,9,10,11,12,13,14,15,16,46,45	3568745	2693899	2158068	2033860	0		
3	10454572	3	46	317308013	30.351124	28.000000	32.000000	34.000000	6.000000	19	43	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	3380953	2396870	2441083	2235666	0		
4	10454572	1	46	318281913	30.444280	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2736237	2259123	3025724	2433488	0		
5	10454572	1	46	315445387	30.172960	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2983737	3159585	2120240	2191010	0		
6	10454572	1	46	316241061	30.249068	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2298751	2967951	2943567	2244303	0		
7	10454572	1	46	318619880	30.476607	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2691748	2882096	2868733	2011995	0		
8	10454572	1	46	321320875	30.734962	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2713695	2874795	2556401	2309681	0		
9	10454572	1	46	319605065	30.570842	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	3358466	1933900	2703719	2458487	0		
10	10454572	1	46	322399930	30.838176	29.000000	32.000000	34.000000	5.000000	22	41	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,46,45,44,43,42	2368329	1864070	2900051	3322122	0		
11	10454572	1	46	317796735	30.397871	28.000000	32.000000	34.000000	6.000000	19	43	1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	3684997	2206127	1968531	2594917	0		
12	10454572	1	46	318675292	30.481907	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2487192	2355820	2725465	2886095	0		
13	10454572	1	46	321574526	30.759224	29.000000	32.000000	34.000000	5.000000	22	41	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,46,45,44,43,42	2853269	2200523	2460604	2940176	0		
14	10454572	1	46	318859287	30.499507	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2785305	3325381	2300461	2043425	0		
15	10454567	1	46	319698750	30.579817	28.000000	32.000000	34.000000	6.000000	19	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,46,45,44	2491004	2489498	2453586	3020479	0		
16	10454564	1	46	314659714	30.097832	27.000000	32.000000	34.000000	7.000000	17	44	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,46,45	2030475	2953080	3158488	2312521	0		
17	10454528	1	46	313207379	29.959017	26.000000	32.000000	34.000000	8.000000	14	46	1,3,4,5,6,7,8,9,10,11,12,13	2541342	2233269	2370652	3309265	0		
